customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0000,Male,0,Yes,Yes,23,No,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,117.10582451653677,,Yes
CUST0001,Female,1,No,Yes,71,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,114.42664891134339,5248.8310054993935,Yes
CUST0002,Male,1,Yes,Yes,35,No,No,DSL,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),67.42142166574638,4415.841817460931,No
CUST0003,Male,1,Yes,No,37,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),106.20426509893134,714.1543440930529,Yes
CUST0004,Male,1,No,No,24,No,Yes,DSL,Yes,No,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),104.45493985350704,3279.456640304176,Yes
CUST0005,Female,1,Yes,Yes,17,No,No phone service,No,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),51.91004732432556,2994.0543657582657,No
CUST0006,Male,1,No,No,65,No,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),,2092.835194407403,No
CUST0007,Male,1,No,No,53,No,No,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),23.700763471549262,5792.8925072349075,Yes
CUST0008,Male,1,No,No,34,Yes,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),79.6269878482053,3977.088365928591,Yes
CUST0009,Female,0,Yes,No,60,No,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No,One year,No,Electronic check,43.000883728770305,666.7488029430306,Yes
CUST0010,Male,1,Yes,No,40,No,No phone service,No,No internet service,Yes,No,No internet service,No,Yes,One year,Yes,Mailed check,32.05668857772788,1777.0619515594944,Yes
CUST0011,Male,0,Yes,Yes,32,No,No,DSL,Yes,No,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),27.695320162920915,5472.404934003575,Yes
CUST0012,Male,1,Yes,No,67,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.62887758781397,627.5242587325955,Yes
CUST0013,Male,1,Yes,Yes,32,No,No,No,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),53.98749637680661,6812.631174109174,No
CUST0014,Female,0,Yes,Yes,13,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No,One year,No,Mailed check,92.47667715287615,3971.269285571515,No
CUST0015,Male,1,Yes,No,20,No,No,No,Yes,No internet service,No,No internet service,No,No internet service,One year,No,Electronic check,26.535634079894237,3855.080887066651,No
CUST0016,Female,0,No,Yes,47,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,51.52903378306104,4747.41412158295,Yes
CUST0017,Female,1,Yes,Yes,19,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,Two year,No,Mailed check,73.94912923753373,6600.95410808269,No
CUST0018,Female,1,No,Yes,7,No,No,No,No internet service,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,,2795.5174790595006,Yes
CUST0019,Male,0,Yes,No,6,Yes,No phone service,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Electronic check,51.87525029320699,5430.568897421327,Yes
CUST0020,Female,1,Yes,No,66,No,No,No,Yes,No,Yes,No internet service,No,No internet service,Two year,No,Electronic check,82.58913764370091,4534.541072686413,No
CUST0021,Male,0,Yes,Yes,16,No,Yes,DSL,No,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),108.5977748236187,2150.885595951982,Yes
CUST0022,Female,1,No,No,32,No,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,81.58631881823047,7031.467291114161,Yes
CUST0023,Female,0,No,No,47,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,No,One year,No,Electronic check,43.29594747536338,6383.459652423287,No
CUST0024,Female,0,No,No,58,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,22.4400781556538,5274.445640574236,No
